Name,Image,Genus Name,Life Cycle,Sun Requirements,Plant-Type,Special Information
African Violet,https://cdn.pixabay.com/photo/2021/03/25/17/04/african-violet-6123658_1280.jpg,Saintpaulia ionantha,Year-round,Partial or Dappled Shade,Houseplant,Low maintenance
Aloe Vera,https://c1.peakpx.com/wallpaper/416/852/1013/aloe-vera-succulent-potted-plant-wallpaper-preview.jpg,"Aloe vera, Aloe barbadensis",Perennial,Full Sun,Succulent,Drought Tolerant
Amaryllis,https://upload.wikimedia.org/wikipedia/commons/8/8b/Amaryllis_rouge_%28hippeastrum%29.JPG,Hippeastrum,Perennial,Full Sun to Partial Shade,Bulb,Toxic to pets
Angel Wing Begonia,https://live.staticflickr.com/3132/3205660844_cea95bcd1a_b.jpg,Begonia coccinea,Annual,Partial or Dappled Shade,Showy,Attracts bees
Barberton Daisy,https://live.staticflickr.com/148/332505924_f7b34e6555_b.jpg,Gebera Jamesonii,Perennial,Full Sun to Partial Shade,Showy,Pet-Friendly
Belladonna Lily,https://www.atozflowers.com/wp-content/uploads/2017/11/Amaryllis_belladonna_5-1.jpg,Amaryllis belladonna,Perennial,Full Sun to Partial Shade,Bulb,Drought tolerant
Bird Of Paradise,https://upload.wikimedia.org/wikipedia/commons/8/84/The_Bird_of_Paradise_Flower_.jpg,Strelitzia,Perennial,Full Sun,Houseplant,Low maintenance
Blushing Bromeliad,https://upload.wikimedia.org/wikipedia/commons/c/c9/Neoregelia_carolinae_%28Turnstange%29.JPG,Neoregelia carolinae,Perennial,Full Sun to Partial Shade,Taproot,Needs excellent drainage in pots
Busy Lizzie,https://upload.wikimedia.org/wikipedia/commons/0/05/Busy_Lizzie_%28Impatiens_walleriana%29.jpg,Impatiens Walleriana,Annual,Partial or Dappled Shade,Houseplant,Pet-Friendly
Christmas Cactus,https://upload.wikimedia.org/wikipedia/commons/e/ef/Cactus_de_no%C3%ABl_rev.jpg,Schlumbergera,Perennial,Partial or Dappled Shade,Cacti,Good for containers
Corsage Orchid,https://live.staticflickr.com/7807/46044768564_7201a5481f_b.jpg,Cattleya Orchid,Perennial,Partial Shade to Full Shade,Houseplant,Needs repotting every 2 to 3 years
Croton,https://www.publicdomainpictures.net/pictures/140000/nahled/croton-type-plants.jpg,Codiaeum,Perennial,Partial or Dappled Shade,Shrub,Humidity tolerant
Cyclamen,https://upload.wikimedia.org/wikipedia/commons/7/79/Cyclamen_hederifolium._Locatie%2C_Tuinreservaat_Jonker_vallei_03.jpg,Cyclamen Persicum,Perennial,Full Sun,Tuber,Pet-Friendly
Daffodil,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Narcissus_poeticus_Spechtensee_01.JPG/640px-Narcissus_poeticus_Spechtensee_01.JPG,Narcissus ,Perennial,Full Sun,Bulb,Drought Tolerant
Dog's-Tooth Violet,https://live.staticflickr.com/65535/50962841003_972f7e3a39_b.jpg,Erythronium,Perennial,Partial or Dappled Shade,Bulb,Insect Pollinators
Donkeys Tail,https://upload.wikimedia.org/wikipedia/commons/8/8b/Sedum_morganianum_%28donkey%27s_tail%29.jpg,Sedum Morganianum,Perennial,Full Sun to Partial Shade,Succulent,Pet-Friendly
